245$a|245$b|245$c|100$a|490$v|260$c|856$u
"Bounding the wild set (counting the minimum number of wild primes in Hilbert symbol equivalent number fields)"||"by Marius M. Somodi."|"Somodi, Marius M."|"2001"|"2001]"|"http://etd.lsu.edu/docs/available/etd-0718101-153927/"
"The role of experience and active learning in web-based training for applying knowledge"||"by Deborah L. Dunaway."|"Dunaway, Deborah L."|"2001"|"2001]"|"http://etd.lsu.edu/docs/available/etd-0911101-173205/"
"Trade flows and marketing practices of Louisiana and Gulf States nurseries"||"by Wade R. Hampton."|"Hampton, Wade R."|"2001"|"2001]"|"http://etd.lsu.edu/docs/available/etd-0821101-100809/"
"A reexamination of the canon of objectivity in American journalism"||"by Les L. Lane."|"Lane, Les L."||"2001]"|"http://etd.lsu.edu/docs/available/etd-1114101-191429/"
"The time-course of vascular adaptations following localized short term exercise training"||"by Jason David Allen."|"Allen, Jason David,"|"2001"|"2001]"|"http://etd.lsu.edu/docs/available/etd-1112101-150225/"
"Effects of water color on food web structure in freshwater lakes"||"by Wissel Bjoern."|"Wissel, Bjoern,"|"2001"|"2001]"|"http://etd.lsu.edu/docs/available/etd-1019101-092354/"
"The synthesis of deuterated arylamine DNA adducts for use in the development of an isotope dilution LC/MS/MS method"||"by Philip Dmitri Olsen."|"Olsen, Philip Dmitri,"|"2001"|"2001]"|"http://etd.lsu.edu/docs/available/etd-1111101-194018/"
"Influence of short-term endurance exercise training on heart rate variability"||"by Clarence Matthew Lee."|"Lee, Clarence Matthew,"|"2001"|"2001]"|"http://etd.lsu.edu/docs/available/etd-1108101-143050/"
"Landscape architecture in El Salvador "|"a case study of the Cerro Verde National Park /"|"by Stephen Price Wilson."|"Wilson, Stephen Price,"|"2001."|"2001]"|"http://etd.lsu.edu/docs/available/etd-1031101-111553/"
"When everybody's a critic "|"effects of a newspaper's self-improvement program /"|"by John M. LaPlante, Jr."|"LaPlante, John M.,"|"2001."|"2001]"|"http://etd.lsu.edu/docs/available/etd-1019101-205937/"
"Electrodeposition of NiW alloys into deep recesses"||"by Lakshmikanth Namburi."|"Namburi, Lakshmikanth,"|"2001."|"2001]"|"http://etd.lsu.edu/docs/available/etd-1109101-100345/"
"""Of one kind or another"" "|"rape in the fiction of Eudora Welty /"|"by Nicole M. Donald."|"Donald, Nicole M."|"2001."|"2001]"|"http://etd.lsu.edu/docs/available/etd-1112101-153735/"
"Signs sense "|"exploring signs in urban place making /"|"by Amy Elizabeth Pecquet."|"Pecquet, Amy Elizabeth,"|"2001."|"2001]"|"http://etd.lsu.edu/docs/available/etd-1012101-102114/"
"Multiple-access interference suppression in CDMA wireless systems"||"by Jianqiang He."|"He, Jianqiang,"|"2001."|"2001]"|"http://etd.lsu.edu/docs/available/etd-1003101-172351"
